"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01113","CONDEISSIAT","01400","CONDEISSIAT",,"46.154093670622316,5.0862998215722275","46.154093670622316","5.0862998215722275"
"01114","CONFORT","01200","CONFORT",,"46.15362397888671,5.835843178635095","46.15362397888671","5.835843178635095"
"01115","CONFRANCON","01310","CONFRANCON",,"46.27318814071772,5.060023463334382","46.27318814071772","5.060023463334382"
"01116","CONTREVOZ","01300","CONTREVOZ",,"45.79714108265223,5.616394931025768","45.79714108265223","5.616394931025768"
"01117","CONZIEU","01300","CONZIEU",,"45.72461785091723,5.6019718412431345","45.72461785091723","5.6019718412431345"
"01118","CORBONOD","01420","CORBONOD",,"45.9667742673505,5.790207948639637","45.9667742673505","5.790207948639637"
"01121","CORLIER","01110","CORLIER",,"46.03688855892611,5.500267893016522","46.03688855892611","5.500267893016522"
"01123","CORMORANCHE SUR SAONE","01290","CORMORANCHE SUR SAONE",,"46.24586190205214,4.830493024141474","46.24586190205214","4.830493024141474"
"01124","CORMOZ","01560","CORMOZ",,"46.43754357773418,5.220889151197332","46.43754357773418","5.220889151197332"
"01125","CORVEISSIAT","01250","CORVEISSIAT",,"46.251410354538024,5.477066089862803","46.251410354538024","5.477066089862803"
"01127","COURMANGOUX","01370","COURMANGOUX",,"46.32429743619926,5.358451880181795","46.32429743619926","5.358451880181795"
"01128","COURTES","01560","COURTES",,"46.45644261616734,5.112836826325051","46.45644261616734","5.112836826325051"
"01129","CRANS","01320","CRANS",,"45.96669301686093,5.191684886169115","45.96669301686093","5.191684886169115"
"01130","BRESSE VALLONS","01340","BRESSE VALLONS","CRAS SUR REYSSOUZE","46.32706649228057,5.182184839722064","46.32706649228057","5.182184839722064"
"01130","BRESSE VALLONS","01340","BRESSE VALLONS","ETREZ","46.32706649228057,5.182184839722064","46.32706649228057","5.182184839722064"
"01133","CRESSIN ROCHEFORT","01350","CRESSIN ROCHEFORT",,"45.78326820689689,5.764997092180549","45.78326820689689","5.764997092180549"
"01134","CROTTET","01290","CROTTET",,"46.28481669052735,4.8760226495959795","46.28481669052735","4.8760226495959795"
"01134","CROTTET","01750","CROTTET",,"46.28481669052735,4.8760226495959795","46.28481669052735","4.8760226495959795"
"01135","CROZET","01170","CROZET",,"46.29061885268579,5.992876193635096","46.29061885268579","5.992876193635096"
"01136","CRUZILLES LES MEPILLAT","01290","CRUZILLES LES MEPILLAT",,"46.22325106552988,4.876029642713923","46.22325106552988","4.876029642713923"
"01138","CULOZ BEON","01350","CULOZ BEON","BEON","45.85529488326935,5.771621465736195","45.85529488326935","5.771621465736195"
"01138","CULOZ BEON","01350","CULOZ BEON","CULOZ","45.85529488326935,5.771621465736195","45.85529488326935","5.771621465736195"
"01139","CURCIAT DONGALON","01560","CURCIAT DONGALON",,"46.48831210197376,5.16658658011656","46.48831210197376","5.16658658011656"
"01140","CURTAFOND","01310","CURTAFOND",,"46.27415849165804,5.105132566434419","46.27415849165804","5.105132566434419"
"01141","CUZIEU","01300","CUZIEU",,"45.821607160065156,5.680179311441554","45.821607160065156","5.680179311441554"
"01142","DAGNEUX","01120","DAGNEUX",,"45.854014383670744,5.074835607770215","45.854014383670744","5.074835607770215"
"01143","DIVONNE LES BAINS","01220","DIVONNE LES BAINS",,"46.375450693085355,6.1114072004060525","46.375450693085355","6.1114072004060525"
"01145","DOMPIERRE SUR VEYLE","01240","DOMPIERRE SUR VEYLE",,"46.06716839696004,5.216696361822139","46.06716839696004","5.216696361822139"
"01146","DOMPIERRE SUR CHALARONNE","01400","DOMPIERRE SUR CHALARONNE",,"46.1420229257313,4.9003969623891654","46.1420229257313","4.9003969623891654"
"01147","DOMSURE","01270","DOMSURE",,"46.4210630074478,5.294462698421645","46.4210630074478","5.294462698421645"
"01148","DORTAN","01590","DORTAN",,"46.31837079565404,5.644338600820238","46.31837079565404","5.644338600820238"
"01149","DOUVRES","01500","DOUVRES",,"45.984714124464276,5.372437066525463","45.984714124464276","5.372437066525463"
"01150","DROM","01250","DROM",,"46.220159868215205,5.367410144311477","46.220159868215205","5.367410144311477"
"01151","DRUILLAT","01160","DRUILLAT",,"46.069118700618745,5.294666181977939","46.069118700618745","5.294666181977939"
"01152","ECHALLON","01130","ECHALLON",,"46.229320972086704,5.734555765448501","46.229320972086704","5.734555765448501"
"01153","ECHENEVEX","01170","ECHENEVEX",,"46.31967025002052,6.018045566246304","46.31967025002052","6.018045566246304"
"01155","EVOSGES","01230","EVOSGES",,"45.96301337755996,5.500849980846789","45.96301337755996","5.500849980846789"
"01156","FARAMANS","01800","FARAMANS",,"45.90857579344244,5.125974406452528","45.90857579344244","5.125974406452528"
"01157","FAREINS","01480","FAREINS",,"46.023468796267395,4.768189953366116","46.023468796267395","4.768189953366116"
"01158","FARGES","01550","FARGES",,"46.16568116782504,5.905377195822666","46.16568116782504","5.905377195822666"
"01159","FEILLENS","01570","FEILLENS",,"46.33930103358801,4.886607293845248","46.33930103358801","4.886607293845248"
"01160","FERNEY VOLTAIRE","01210","FERNEY VOLTAIRE",,"46.2519658337836,6.106138409642002","46.2519658337836","6.106138409642002"
"01162","FLAXIEU","01350","FLAXIEU",,"45.81247544825227,5.746632781126146","45.81247544825227","5.746632781126146"
"01163","FOISSIAT","01340","FOISSIAT",,"46.379167914966004,5.185083125447035","46.379167914966004","5.185083125447035"
"01165","FRANCHELEINS","01090","FRANCHELEINS",,"46.070716503674475,4.811071114958707","46.070716503674475","4.811071114958707"
"01165","FRANCHELEINS","01090","FRANCHELEINS","AMAREINS","46.070716503674475,4.811071114958707","46.070716503674475","4.811071114958707"
"01165","FRANCHELEINS","01090","FRANCHELEINS","CESSEINS","46.070716503674475,4.811071114958707","46.070716503674475","4.811071114958707"
"01166","FRANS","01480","FRANS",,"45.990515881818155,4.781944344594678","45.990515881818155","4.781944344594678"
"01167","GARNERANS","01140","GARNERANS",,"46.21236656545986,4.828938537187416","46.21236656545986","4.828938537187416"
"01169","GENOUILLEUX","01090","GENOUILLEUX",,"46.121052558727484,4.792549740416405","46.121052558727484","4.792549740416405"
"01170","BEARD GEOVREISSIAT","01460","BEARD GEOVREISSIAT",,"46.188424879687716,5.549695762487241","46.188424879687716","5.549695762487241"
"01171","GEOVREISSET","01100","GEOVREISSET",,"46.25176790069767,5.6163155727871","46.25176790069767","5.6163155727871"
"01173","GEX","01170","GEX",,"46.35145141154705,6.048849214878093","46.35145141154705","6.048849214878093"
"01174","GIRON","01130","GIRON",,"46.2207494424936,5.788065699850987","46.2207494424936","5.788065699850987"
"01175","GORREVOD","01190","GORREVOD",,"46.41565087016802,4.950718645670978","46.41565087016802","4.950718645670978"
"01177","GRAND CORENT","01250","GRAND CORENT",,"46.20888064489471,5.438761098484453","46.20888064489471","5.438761098484453"
"01179","GRIEGES","01290","GRIEGES",,"46.26692513169817,4.847507603211121","46.26692513169817","4.847507603211121"
"01180","GRILLY","01220","GRILLY",,"46.331815839688126,6.113903708243212","46.331815839688126","6.113903708243212"
"01181","GROISSIAT","01100","GROISSIAT",,"46.22697999001735,5.617854994220796","46.22697999001735","5.617854994220796"
"01183","GUEREINS","01090","GUEREINS",,"46.105992694630274,4.783860601616071","46.105992694630274","4.783860601616071"
"01184","HAUTECOURT ROMANECHE","01250","HAUTECOURT ROMANECHE",,"46.159167851692914,5.431119519877264","46.159167851692914","5.431119519877264"
"01184","HAUTECOURT ROMANECHE","01250","HAUTECOURT ROMANECHE","ROMANECHE","46.159167851692914,5.431119519877264","46.159167851692914","5.431119519877264"
